"season","date","home_team","guest_team","score","home_score","guest_score","odds_1","odds_x","odds_2","explore_id","outcome","ftr"
"Handbollsligan 2017/2018","14.03.2018","Alingsas","Savehof","26:29","26","29","1.38","9.57","3.78","ELL63qws",,"2"
"Handbollsligan 2017/2018","14.03.2018","Hammarby","Helsingborg","26:31","26","31","1.29","10.20","4.64","hCKA23hm",,"2"
"Handbollsligan 2017/2018","14.03.2018","Karlskrona","Aranas","31:26","31","26","1.33","9.92","4.20","zyAF1N7g",,"1"
"Handbollsligan 2017/2018","14.03.2018","Kristianstad","Ricoh","30:22","30","22","1.01","23.45","19.68","nDhwLB8E",,"1"
"Handbollsligan 2017/2018","14.03.2018","Lugi","Guif","28:20","28","20","1.46","9.10","3.38","hEBnbl11",,"1"
"Handbollsligan 2017/2018","14.03.2018","Malmo","Redbergslids","24:28","24","28","1.50","8.64","3.24","6HFjc8G7",,"2"
"Handbollsligan 2017/2018","14.03.2018","Skovde","Ystads IF","33:35","33","35","3.69","9.58","1.40","8MgZLig8",,"2"
"Handbollsligan 2017/2018","11.03.2018","Aranas","Hammarby","27:24","27","24","1.94","8.17","2.23","biCraUoe",,"1"
"Handbollsligan 2017/2018","11.03.2018","Helsingborg","Alingsas","17:33","17","33","7.68","14.46","1.12","d8eC6CgL",,"2"
"Elitserien 2015/2016","02.04.2016","Alingsas","Kristianstad","27:28","27","28","4.16","10.46","1.33","pGttSxCl",,"2"
"Elitserien 2013/2014","08.04.2014","Alingsas","Ystads IF","42:19","42","19","1.41","10.10","3.48","0YoQpYRT",,"1"
"Elitserien 2011/2012","21.03.2012","Alingsas","Kristianstad","28:26","28","26","1.41","10.05","3.41","61OYHIPl",,"1"
"Elitserien 2010/2011","21.03.2011","Alingsas","Ystads IF","27:20","27","20","","","","WMnTP6vT",,"1"
"Elitserien 2009/2010","17.03.2010","Drott","Guif","26:33","26","33","1.77","9.28","2.34","8vvldyRD",,"2"
"Elitserien 2008/2009","14.03.2009","Savehof","IFK Ystads","38:23","38","23","1.09","15.06","9.10","4fYy95jc",,"1"
"Elitserien 2004/2005","18.03.2005","Guif","Savehof","28:28","28","28","3.89","9.99","1.28","GIJjsmQR",,"X"
"Handbollsligan 2017/2018","11.03.2018","Redbergslids","Kristianstad","23:23","23","23","2.60","8.18","1.71","r5i87hvF",,"X"
"Handbollsligan 2017/2018","11.03.2018","Ricoh","Lugi","19:35","19","35","4.15","9.79","1.34","0t238YO8",,"2"
"Handbollsligan 2017/2018","11.03.2018","Ystads IF","Karlskrona","39:31","39","31","1.16","13.39","6.57","hvsr1jHr",,"1"
"Handbollsligan 2017/2018","10.03.2018","Guif","Skovde","29:26","29","26","1.23","11.27","5.35","K0Dv0AWl",,"1"
"Handbollsligan 2017/2018","09.03.2018","Savehof","Malmo","29:31","29","31","2.44","7.86","1.82","jVfG5W8R",,"2"
"Handbollsligan 2017/2018","08.03.2018","Kristianstad","Lugi","28:25","28","25","1.22","11.34","5.58","4EWYhgPL",,"1"
"Handbollsligan 2017/2018","07.03.2018","Aranas","Savehof","25:26","25","26","3.95","9.76","1.36","fqBDoBHe",,"2"
"Handbollsligan 2017/2018","07.03.2018","Hammarby","Ystads IF","30:33","30","33","2.64","8.22","1.70","0pI4mXnq",,"2"
"Elitserien 2015/2016","02.04.2016","Aranas","Redbergslids","20:33","20","33","5.56","11.71","1.22","ER61ZKJE",,"2"
"Elitserien 2015/2016","02.04.2016","Drott","Lugi","31:30","31","30","16.20","19.08","1.03","SvWpRdRf",,"1"
"Elitserien 2015/2016","02.04.2016","Hammarby","Ricoh","34:30","34","30","1.40","10.12","3.63","trzkQGt1",,"1"
"Elitserien 2015/2016","02.04.2016","Malmo","Karlskrona","30:25","30","25","1.09","15.51","9.67","zseAXblR",,"1"
"Elitserien 2015/2016","02.04.2016","Savehof","Guif","27:22","27","22","1.52","9.37","3.10","djd6YvZK",,"1"
"Elitserien 2015/2016","02.04.2016","Ystads IF","Skovde","30:25","30","25","1.07","16.09","11.47","6PsxTIdr",,"1"
"Elitserien 2015/2016","30.03.2016","Guif","Ystads IF","31:27","31","27","2.13","8.18","2.01","jgL6Dwce",,"1"
"Elitserien 2015/2016","29.03.2016","Skovde","Savehof","24:28","24","28","5.41","11.06","1.23","0O2cz148",,"2"
"Elitserien 2015/2016","28.03.2016","Karlskrona","Alingsas","32:26","32","26","5.71","11.96","1.20","nLEFBHR7",,"1"
"Elitserien 2015/2016","27.03.2016","Ricoh","Drott","41:24","41","24","1.06","16.44","11.50","8UFBCcC1",,"1"
"Elitserien 2013/2014","08.04.2014","Drott","Guif","27:34","27","34","3.22","9.70","1.47","6BnMoECN",,"2"
"Elitserien 2013/2014","08.04.2014","Kristianstad","Redbergslids","24:19","24","19","1.22","11.65","5.19","OSj1jxbh",,"1"
"Elitserien 2013/2014","08.04.2014","Lugi","Skovde","29:34","29","34","1.71","8.98","2.51","AqgDmzrB",,"2"
"Elitserien 2013/2014","08.04.2014","Onnereds","Hammarby","26:29","26","29","3.55","10.29","1.40","h8rInfcH",,"2"
"Elitserien 2013/2014","08.04.2014","Rimbo","Lund","32:39","32","39","2.53","9.24","1.69","2Jk5kdDb",,"2"
"Elitserien 2013/2014","08.04.2014","Savehof","Malmo","36:24","36","24","1.34","10.84","3.85","Whf9lGS4",,"1"
"Elitserien 2013/2014","30.03.2014","Drott","Savehof","33:33","33","33","2.01","8.67","2.08","fim1X2zG",,"X"
"Elitserien 2013/2014","26.03.2014","Drott","Skovde","34:28","34","28","1.56","9.26","2.87","6mM7NR6i",,"1"
"Elitserien 2013/2014","26.03.2014","Kristianstad","Savehof","31:25","31","25","1.47","9.55","3.20","bqGiHjpI",,"1"
"Elitserien 2013/2014","25.03.2014","Lugi","Rimbo","40:35","40","35","1.01","21.75","19.79","v1KFL5y4",,"1"
"Elitserien 2011/2012","21.03.2012","Guif","Malmo","35:31","35","31","1.31","10.98","4.03","vuhxJbAr",,"1"
"Elitserien 2011/2012","21.03.2012","Hammarby","Lugi","24:28","24","28","3.09","9.05","1.51","QmvfP0XE",,"2"
"Elitserien 2011/2012","21.03.2012","Redbergslids","Aranas","34:33","34","33","1.41","10.31","3.37","virbOKnL",,"1"
"Elitserien 2011/2012","21.03.2012","Savehof","Lund","42:31","42","31","1.02","19.85","17.27","YDs2Nv2R",,"1"
"Elitserien 2011/2012","21.03.2012","Skovde","Drott","30:33","30","33","1.50","9.99","3.00","rPlkQtI8",,"2"
"Elitserien 2011/2012","21.03.2012","Tumba","Ystads IF","27:30","27","30","3.79","10.87","1.34","phNxHxue",,"2"
"Elitserien 2011/2012","16.03.2012","Ystads IF","Redbergslids","28:27","28","27","1.28","11.31","4.34","4YkoRM22",,"1"
"Elitserien 2011/2012","14.03.2012","Aranas","Skovde","32:33","32","33","2.55","9.39","1.67","jopn4aek",,"2"
"Elitserien 2011/2012","14.03.2012","Drott","Guif","31:35","31","35","2.50","9.32","1.69","C0Yf2wQ1",,"2"
"Elitserien 2010/2011","21.03.2011","Guif","Drott","42:26","42","26","","","","tdx3J4Hd",,"1"
"Elitserien 2010/2011","21.03.2011","Hammarby","Aranas","22:27","22","27","","","","25waKp2j",,"2"
"Elitserien 2010/2011","21.03.2011","Lindesberg","Lugi","27:27","27","27","","","","2kVeRGz3",,"X"
"Elitserien 2010/2011","21.03.2011","Redbergslids","Kristianstad","37:31","37","31","","","","ObWiSdLd",,"1"
"Elitserien 2010/2011","21.03.2011","Savehof","Malmo","34:27","34","27","","","","8rveLQnp",,"1"
"Elitserien 2010/2011","21.03.2011","Skovde","Lund","29:24","29","24","","","","lbcOQnPM",,"1"
"Elitserien 2010/2011","19.03.2011","Aranas","Guif","30:27","30","27","","","","6kzCRS9G",,"1"
"Elitserien 2010/2011","19.03.2011","Kristianstad","Lindesberg","31:23","31","23","","","","xAnaUUPc",,"1"
"Elitserien 2009/2010","17.03.2010","Hammarby","Savehof","24:36","24","36","2.24","8.85","1.84","jJRcXilD",,"2"
"Elitserien 2009/2010","17.03.2010","Lindesberg","Lugi","28:23","28","23","2.57","9.64","1.64","46XdfFeQ",,"1"
"Elitserien 2009/2010","17.03.2010","Lund","Skovde","24:24","24","24","3.12","10.59","1.46","vqOgYXY6",,"X"
